Parent Card,Kind,Timing,Targeting 1,Targeting 2,Precision,Energy Cost,Additional Cost,Effect,Trigger,Header,Footer,Reminder
Inertial Drive,Passive,None,,,,,,"While this part has [Counter], you get -1[Movement] from all sources.",,,,""
Nuclear Reactor,Passive,Phase_1,,,,,,"Gain 14[Energy]. This part loses [Hp#2].",,,,""
Overdrive Core,Passive,Phase_1,,,,,,"Gain 9[Energy]. You may take up to 4[Damage] on this part, then gain[Energy] equal to damage taken.",,,,"(If this part destroys itself, do not gain additional [Energy].)"
Thermal Plating,Passive,Phase_1,,,,,,"Gain 10[Energy]. You may take 1[Fire] to gain 3[Energy].",,,,""
Thermal Plating,Passive,None,,,,,,"Paid abilities on your parts with [Fire] cost -1[Energy].",,,,""
Afterburner,Attack,Phase_2,Straight 2,,,4,,"1[Fire], X[Damage].",,,"X is the number of status tokens on the target.",""
Arm Blades,Attack,Phase_2,Adjacent,,,4,,"3[Damage].",,,,""
Arm Blades,Attack,Phase_2,Adjacent,,1,3,,"Move 1-2 spaces in a straight line, then target a valid unit in the same direction as you moved. 1[Damage].",,,,"(You must be able to do both.)"
Assassin's Blade,Attack,Phase_2,Adjacent,,2,3,,"1[Damage].",,,,""
Big Gun,Attack,Phase_2,Straight 6,,,2,,"1[Damage].",,,,""
Billboard,Attack,Phase_2,Adjacent,,,3,,"1[Damage].",,,,""
Billboard,Passive,None,,,,,,"When you purchase this part, your team gains $10.",,,,""
Bludgeon Arm,Attack,Phase_2,Adjacent,,,7,,"WC[Damage]",,"This attack deals +2[Damage] if your WC is 4 or more.",,""
Buckler,Utility,Phase_2,,,,2,,"2[Block] on this part.",,,,""
Buckler,Passive,Interrupt,,,,,,"1[Block] on this part.","Whenever you lose [Hp] to a [Targeting_Adjacent]/[Targeting_Surrounding] attack",,,""
Crossbow,Attack,Phase_2,Straight 4,,,1,"1[Counter]","2[Damage].",,,,""
Crossbow,Utility,Phase_2,,,,5,,"1[Counter] (Max 1).",,,,""
Debilitator,Attack,Phase_2,Straight 3,,2,7,,"2[Virus]1[Ion].",,,,""
Dirk,Attack,Phase_2,Adjacent,,,2,,"1[Damage]. If your WC is 3 or less, 1[Movement].",,,,""
Fire Spitter,Attack,Phase_2,Straight 3,,,5,,"1[Fire],1[Fire].",,,,""
Flail,Attack,Phase_2,Surrounding,,,4,,"3[Damage].",,,,""
Flail,Attack,Phase_2,Straight 2,,,4,,"2[Damage].",,,,""
Grapple Arm,Utility,Phase_2,Straight 4,,,4,,"Target a valid obstacle. Move in a straight line towards it until you are adjacent. If it is a unit, 1[Damage].",,,,""
Greathammer,Attack,Phase_2,Adjacent,,,6,,"WC[Damage].",,,,""
Mortar,Attack,Phase_2,Ballistic 4,,,6,,"X[Damage].",,,"X is the distance between you and the target.",""
Pilot Light,Attack,Phase_2,Adjacent,,,1,"take 2[Fire]","2[Fire].",,,,""
Plague Grenades,Attack,Phase_2,Ballistic 4,,,6,"1[Counter]","2[Virus]. Each unit adjacent to the target must take 1[Virus].",,,,""
Plague Grenades,Passive,None,,,,,,"When built, 4[Counter].",,,,""
Plasma Rifle,Attack,Phase_2,Straight 4,,3,5,,"1[Damage]1[Fire]1[Ion].",,,,""
Plasma Saber,Attack,Phase_2,Adjacent,,3,6,,"2[Fire].",,,,""
Plasma Saber,Attack,Phase_2,Adjacent,,2,4,,"1[Fire]X[Damage].",,,"X is the number of [Fire] on the target's part with the most [Fire].",""
Precision Disabler,Attack,Phase_2,Ballistic 2,,2,6,,"2[Ion] on a non-[Slot_Torso]/[Slot_Legs] part. The target loses 2[Energy].",,,,""
Railgun,Attack,Phase_2,Straight 10,,,10,,"10[Damage].",,,,""
Rapier,Attack,Phase_2,Adjacent,,,5,,"3[Damage].",,"This attack deals +1[Damage] to parts with [Block].",,""
Repair Tool,Utility,Phase_2,Self,Adjacent,1,4,,"3[Repair] on another part.",,,,""
Rocket Pod,Attack,Phase_2,Straight 4,,,6,,"2[Damage],1[Damage].",,,,""
Self-Throwing Arm,Attack,Phase_2,Ballistic 3,,,6,,"8[Damage]. Destroy this part.",,,,""
Sniper Rifle,Attack,Phase_2,Straight 99,,,4,,"2[Damage].",,"This attack gains [Precision#1] when targeting a unit 4 or more spaces away.",,""
Stunner,Attack,Phase_2,Adjacent,,,5,,"1[Ion],1[Ion].",,,,""
Superspreader,Attack,Phase_2,Surrounding,,,8,,"1[Virus],1[Virus],1[Virus].",,,,""
Swarm Missiles,Attack,Phase_2,Ballistic 3,,,4,,"2[Damage].",,,,""
Tower Shield,Utility,Phase_2,,,,4,,"4[Block] on this part.",,,,""
Tower Shield,Passive,None,,,,,,"While this part has [Block], it must be selected in [Precision] attacks.",,,,""
Jumping Legs,Movement,Phase_2,,,,2,,"(4 - WC)[Movement].",,,,""
Jumping Legs,Passive,None,,,,,,"When you use [Movement], you may move through obstacles.",,,,""
Legs,Movement,Phase_2,,,,3,,"(6 - WC)[Movement].",,,,""
Reactive Exoskeleton,Movement,Phase_2,,,,3,,"(5 - WC)[Movement].",,,,""
Reactive Exoskeleton,Movement,Interrupt,,,,WC,,"1[Movement].","Once per round, after any activation finishes",,,""
Sentry Legs,Movement,Phase_2,,,,3,,"(8 - WC)[Movement].",,,,""
Sentry Legs,Passive,None,,,,,,"When you use [Movement], turns along your path cost an additional 1[Movement].",,,,""
Spartan Legs,Attack,Phase_2,Adjacent,,,3,,"2[Damage]. Push the target 1 space.",,,,""
Spartan Legs,Movement,Phase_2,,,,3,,"(6 - WC)[Movement].",,,,""
Steamroller,Movement,Phase_2,,,,4,,"(6 - WC)[Movement].",,,,""
Steamroller,Passive,None,,,,,,"When you use [Movement], you ignore zone of control and may push units with lower [Weight] than you. Units pushed this way take 1[Damage], or 2[Damage] if you have twice their [Weight].",,,,""
Swift-foot Legs,Movement,Phase_2,,,,3,,"(10 - 2*WC)[Movement].",,,,""
Tripedal Drive,Movement,Phase_2,,,,3,,"(10 - WC)[Movement].",,,,""
Ablative Plating,Utility,Phase_2,Self,,,2,,"1[Damage]3[Block]on a part with 0[Block].",,,,""
Active Suspension,Utility,Phase_2,Self,,,2,,"2[Block] on a [Slot_Hand] part.",,,,""
Active Suspension,Passive,None,,,,,,"While any of your [Slot_Hand] parts have [Block], take -1[Damage] from attacks from adjacent units.",,,,""
Afflictive Resonator,Passive,Phase_1,Self,Ballistic 2,,,,"You may clear 1 status token from a valid part. You may add 1 status token of the same type to a valid part that already has one.",,,,""
Amplifying Subwoofer,Attack,Phase_2,Self,Ballistic 2,,4,,"1[Damage] to all valid parts with status tokens.",,,,""
Cleansing Nanites,Utility,Phase_2,Self,Ballistic 2,,3,,"1[Repair] and clear all status tokens on the part.",,,,""
Cloaking Device,Utility,Interrupt,,,,1,"1[Counter]","Ignore zone of control for that movement.","Before you use [Movement]",,,""
Cloaking Device,Passive,None,,,,,,"When built, 3[Counter].",,,,""
Comms Jammer,Passive,None,,,,,,"Enemies with [Ion] may not speak during their activations.",,,,""
Cytokine Storm,Attack,Interrupt,Surrounding,,,0,,"1[Damage] for each status token cleared.","Whenever you clear 1 or more of your status tokens",,,""
Cytokine Storm,Utility,Phase_2,,,,2,"take 1[Damage],1[Damage]","Clear all your status tokens.",,,,""
Exhaust Vent,Attack,Phase_1,Adjacent,,,1,,"Clear 1 of your status tokens. If you do, 1[Fire].",,,,""
Ignition Protocol,Attack,Phase_2,Ballistic 3,,,5,,"1[Fire] to all parts on the target with [Virus].",,,,""
Immune Supressor,Passive,None,Ballistic 3,,,,,"When adding [Virus] at the start of [Timing_Phase_1], valid enemies with [Virus] must add an additional 1[Virus] to themselves.",,,,""
Martial Arts Protocol,Attack,Interrupt,,,2,0,,"Target the attacker. 1[Damage].","The first time each round you lose [Block] to a melee attack",,,"(Melee attacks use [Targeting_Adjacent]/[Targeting_Surrounding])"
Memetic AI,Utility,Phase_1,,,,2,,"1[Counter].",,,,""
Memetic AI,Passive,Phase_3,,,,,,"Remove all [Counter].",,,,""
Memetic AI,Passive,None,Ballistic 2,,,,,"While this part has [Counter], it gains a copy of all passive abilities on valid [Slot_Mod] parts.",,,,""
Necrotizing Protocol,Attack,Phase_2,Ballistic 3,,,3,,"1[Damage] to all parts on the target with [Virus].",,,,""
Obtuse Emergency Protocols,Passive,None,Self,Ballistic 2,,,,"The basic action to clear status tokens costs -1[Energy] for valid allies and +1[Energy] for valid enemies.",,,,"(You are your own ally.)"
Optimized Routing,Passive,None,,,,,,"Abilities that cost 5[Energy] or more cost 1[Energy] less.",,,,""
Plink Cannon,Attack,Phase_1,Ballistic 2,,,1,,"1[Damage].",,,,""
Reflex Drive,Passive,Interrupt,,,,,,"The attack gains +2[Precision].","The first time each round you are targeted by an attack with [Precision]",,,""
Self-forming Structures,Passive,Phase_1,Self,,,,,"1[Repair].",,,,""
Shutdown Protocol,Attack,Phase_2,Ballistic 3,,,6,,"1[Ion] to all parts on the target with [Virus].",,,,""
Small Modular Reactor,Passive,Phase_1,,,,,,"Gain 2[Energy].",,,,""
Suspension System,Passive,Phase_1,,,,,,"Remove all [Counter]. You may pay 3[Energy] for 1[Counter].",,,,""
Suspension System,Passive,None,,,,,,"While this part has [Counter], you have -10[Weight].",,,,""
Targeting Computer,Passive,Interrupt,,,,2,,"Give the ability +1[Targeting_Straight], +1[Targeting_Ballistic] and -2[Precision]. If it had no [Precision], give it [Precision#3].","When you use a ranged ability",,,"(Ranged abilities use [Targeting_Straight]/[Targeting_Ballistic])"
Temporal Drive,Passive,Phase_1,,,,,,"Gain 1[Energy].",,,,""
Temporal Drive,Passive,Interrupt,,,,,,"Each player tied with you loses 1[Energy].","When checking initiative, if you are tied for most [Energy]",,,"(You then take the next activation.)"
X-Ray Targeting,Passive,None,,,,,,"Your [Targeting_Straight] attacks ignore obstacles.",,,,""
